Etunimi,Lukumäärä
Lisbeth,486
Lili,479
Eija-Liisa,473
Elisabet,473
Sanna-Kaisa,473
Sirja,473
Sofi,473
Hillevi,469
Silva,468
Charlotte,464
Eeva-Maria,464
Claudia,463
Elvira,458
Agneta,454
Impi,451
Vilhelmiina,448
Maaria,447
Anna-Sofia,446
Tua,445
Elea,444
Eeva-Maija,443
Josefina,443
Loviisa,443
Meiju,443
Ellinoora,442
Sani,441
Sanna-Maria,438
Nicole,436
Michelle,434
Soila,434
Silvia,433
Helmiina,432
Nuppu,432
Tamara,423
Miranda,420
Agnes,417
Julianna,416
Melinda,416
Iida-Maria,414
Jane,411
Mary,411
Assi,408
Lumia,408
Liinu,405
Stiina,405
Fiia,404
Nathalie,402
Teea,402
Christine,399
Michaela,399
Esteri,398
Nana,397
Emelie,395
Märta,395
Anne-Maj,394
Jelena,393
Amina,390
Ulpu,390
Hannamari,389
Sarianna,386
Veronika,385
Bettina,384
Karla,382
Milana,379
Eedit,378
Alicia,377
Maj,377
Roosa-Maria,377
Amelie,376
Caroline,376
Jeanette,375
Sophie,375
Moa,371
Aina,370
Annemari,370
Jannika,370
Larissa,370
Linnéa,369
Leona,368
Clara,367
Hanna-Maija,367
Madeleine,367
Karolina,366
Maili,366
Aliina,365
Gun-Britt,365
Louna,364
Heleena,362
Briitta,357
Viktoria,356
Mandi,354
Tiia-Maria,353
Pamela,352
Nenna,351
Sophia,350
Hellä,348
Rakel,348
Ann-Marie,347
Beata,347
Jasmina,347
Leena-Maija,346
Kirsi-Maria,345
Mariia,344
Minna-Liisa,344
Hannah,343
Aisha,342
Mai,342
Mathilda,339
Rebecka,339
Svea,339
Bella,337
Jarna,337
Annastiina,332
Maja,332
Raija-Liisa,332
Miira,331
Lidia,328
Pernilla,327
Lenita,322
Leeni,320
Mirja-Liisa,318
Andrea,317
Ann-Christine,317
Henrietta,317
Merita,317
Gretel,315
Hellin,314
Yasmin,314
Jenniina,311
Samira,309
Adessa,308
Iitu,308
Rosanna,307
Vaula,306
Gerd,305
Sade,305
Ramona,304
Anelma,303
Hulda,303
Jessi,302
Rosita,301
Helene,300
Jadessa,299
Mariam,299
Vivi,299
Maj-Len,298
Marit,298
My,298
Beatrice,296
Freja,296
Miriam,296
Riika,294
Sanja,294
Sonia,293
Ninja,291
Fatima,290
Margarita,290
Edit,289
Mariitta,289
Eeva-Kaisa,288
Mari-Anne,285
Carla,284
Erna,284
Rut,283
Salma,283
Karina,281
Thea,281
Annica,280
Hanna-Riikka,280
Hilppa,280
Lisbet,280
Nadia,279
Naomi,279
Lia,278
