Etunimi,Lukumäärä
Antti-Pekka,413
Mohammed,412
Georg,409
Sten,409
Ivan,407
Ronny,406
Nicklas,402
Arsi,400
Sergei,395
Boris,392
Romeo,392
Antto,391
Einari,391
Muhammad,390
Samppa,387
Turkka,385
Kent,384
André,382
Aatto,381
Mattias,381
Into,378
Jakob,377
Ibrahim,376
Maxim,376
Pavel,373
Toimi,373
Rune,371
Tage,371
Elmer,368
Arthur,364
Nestori,364
Mikke,363
Kristoffer,360
Artur,359
Nikita,359
Igor,358
Joa,358
Alvin,356
Klas,356
Osku,356
Ruben,356
Amir,354
Wille,351
Asmo,344
Bruno,343
Abdirahman,338
Jonny,338
James,336
Wilhelm,336
Vilppu,336
Albin,335
Nino,335
Van,334
Viljam,332
Valo,330
Joosua,329
Roman,328
Alfred,326
August,326
Philip,324
Anttoni,321
Jacob,320
Arvid,319
Ville-Petteri,318
Pietu,317
Ohto,316
Denis,315
Matts,315
Soini,315
Aleksander,314
Uuno,314
Maximilian,313
Edward,311
Lennart,311
Mitja,309
Aake,306
Karo,306
Ole,306
Orvo,304
Aleksei,303
Evert,303
Pete,303
Veini,303
Herman,301
Kasimir,300
Vihtori,297
Karim,296
Herkko,294
Svante,294
Esa-Pekka,293
Jack,292
Marius,292
Aleksis,290
Hannu-Pekka,290
Jean,290
Ville-Matti,289
Einar,288
Edvard,287
Jari-Matti,287
Ove,287
Pirkka,286
Valde,286
Erkko,285
Iisakki,285
Joshua,284
Asser,283
Jake,282
Jason,281
Aslak,280
Mustafa,280
Totti,280
Masi,279
Petro,279
Jörgen,277
Kuisma,277
Mertsi,277
Eeti,276
Abdullahi,275
Roland,275
Manuel,273
Nikke,273
Per-Erik,273
Ari-Matti,272
Julian,272
Alvari,271
Ivar,271
Oleg,271
Verner,270
Bernt,269
Benny,268
Joachim,268
Maksim,267
Sune,266
Olof,265
Petter,265
Rikhard,264
Rony,263
Konstantin,260
Jaani,259
Dominic,258
Mikhail,258
Miio,257
Ted,257
Gösta,256
Juho-Pekka,256
Iisak,254
Dimitri,253
Edwin,253
Jasse,253
Torsten,253
Timo-Pekka,252
Ian,251
Maunu,251
Jetro,249
Anselmi,247
Berndt,245
Hassan,245
Sergey,245
Ahmad,244
Peik,244
Anthony,243
Ernst,243
Dick,242
Immo,241
Pessi,241
Eddie,240
Melvin,240
Milton,240
Jone,239
Karl-Erik,238
Samir,237
Birger,236
Charles,235
Knut,235
Kaino,232
Renne,232
Wiljami,232
Lars-Erik,230
Simeon,229
Yusuf,229
Carl-Johan,228
Wilmer,227
Kare,225
Andrey,223
Kirill,222
Matthew,222
Mårten,222
Wäinö,222
Ronnie,221
Casimir,220
Dmitri,220
Olli-Matti,220
Alec,219
Kaspian,219
Antonio,218
Alexandre,216
Ola,215
Raul,215
Conny,212
Hussein,212
Kuutti,211
Staffan,211
Jermu,210
Leonard,210
Manne,210
Mike,209
Ville-Valtteri,208
Ingmar,207
Kennet,205
Levi,205
Miiko,205
Kerkko,204
Bertel,203
Carlos,203
Joe,203
Nemo,203
Rico,203
Jali,202
Tore,202
Isac,201
Olle,201
Viggo,201
Yngve,201
Frej,198
Jeremia,198
Hamza,197
Jani-Petteri,197
Sture,196
Aappo,195
Caj,195
